Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16
2tpi,,2.1,,1982,,Kd=49uM,,Kd=49uM,,,,,//,2tpi.pdf,(2-mer)
5tln,,2.3,,1982,,Ki=0.43uM,,Ki=0.43uM,,,//,5tln.pdf,(BAN),incomplete,ligand
4tln,,2.3,,1982,,Ki=190uM,,Ki=190uM,,,,//,4tln.pdf,(LNO),
4cts,,2.9,,1984,,Kd<10uM,,Kd<10uM,,,,,//,4cts.pdf,(OAA)
6rsa,,,NMR,,1986,,Ki=40uM,Ki=40uM,,,,,,//,6rsa.pdf
1rnt,,1.9,,1987,,Kd=6.5uM,,Kd=6.5uM,,,,//,1rnt.pdf,(2GP),
6cha,,1.8,,1987,,Ki=40uM,,Ki=40uM,,,,,//,6cha.pdf,(PBA)
4ts1,,2.5,,1989,,Kd=11.6uM,,Kd=11.6uM,,,//,4ts1.pdf,(TYR),,
4tmn,,1.7,,1989,,Ki=0.068nM,,Ki=0.068nM,,//,4tmn.pdf,(0PK),,,
2tmn,,1.6,,1989,,Ki=1.3uM,,Ki=1.3uM,,,,//,2tmn.pdf,(0FA),
1tlp,,2.3,,1989,,Ki=28nM,,Ki=28nM,,,,,//,1tlp.pdf,(RDF)
1tmn,,1.9,,1989,,Ki=50nM,,Ki=50nM,,,,,//,1tmn.pdf,(0ZN)
5tmn,,1.6,,1989,,Ki=9.1nM,,Ki=9.1nM,,,,//,5tmn.pdf,(0PJ),
4fab,,2.7,,1990,,Kd=8.8nM,,Kd=8.8nM,,,,//,4fab.pdf,(FLU),
1p01,,2,,1990,,Ki=0.35nM,,Ki=0.35nM,,,//,1p01.pdf,(0EG),covalent,complex
3at1,,2.8,,1990,,Ki=0.66mM,,Ki=0.66mM,,,//,3at1.pdf,(PCT),,
1p05,,2.1,,1990,,Ki=1100nM,,Ki=1100nM,,,//,1p05.pdf,(5-mer),incomplete,ligand
1p10,,2.25,,1990,,Ki=200nM,,Ki=200nM,,,,//,1p10.pdf,(5-mer),incomplete
6gch,,2.1,,1990,,Ki=20uM,,Ki=20uM,,,,,//,6gch.pdf,(APF)
7gch,,1.8,,1990,,Ki=2uM,,Ki=2uM,,,,,,//,7gch.pdf
1p04,,2.55,,1990,,Ki=40nM,,Ki=40nM,,,,,//,1p04.pdf,(5-mer)
1p06,,2.34,,1990,,Ki=540nM,,Ki=540nM,,,,//,1p06.pdf,(5-mer),incomplete
1p03,,2.15,,1990,,Ki=6.4nM,,Ki=6.4nM,,,,//,1p03.pdf,(5-mer),incomplete
1p02,,2,,1990,,Ki=67nM,,Ki=67nM,,,,,//,1p02.pdf,(5-mer)
8abp,,1.49,,1991,,Kd=0.010uM,,Kd=0.010uM,,//,8abp.pdf,(GLA/GLB),isomer,,
1rbp,,2,,1991,,Kd=0.19uM,,Kd=0.19uM,,,//,1rbp.pdf,(RTL),,
7abp,,1.67,,1991,,Kd=0.35uM,,Kd=0.35uM,,,//,7abp.pdf,(FCA/FCB),isomer,
6abp,,1.67,,1991,,Kd=0.44uM,,Kd=0.44uM,,,//,6abp.pdf,(ARA/ARB),isomer,
1fkf,,1.7,,1991,,Kd=0.4nM,,Kd=0.4nM,,,,//,1fkf.pdf,(FK5),
9icd,,2.5,,1991,,Kd=125uM,,Kd=125uM,,,,//,9icd.pdf,(NAP),
06-Apr,,2.5,,1991,,Ki<=17nM,,Ki<=17nM,,,,//,6apr.pdf,(6-mer),
4er1,,2,,1991,,Ki=0.242uM,,Ki=0.242uM,,//,4er1.pdf,(0ZP),,,
5er2,,1.8,,1991,,Ki=0.27uM,,Ki=0.27uM,,,//,5er2.pdf,(0EK),,
4er2,,2,,1991,,Ki=0.5nM,,Ki=0.5nM,,,,//,4er2.pdf,(6-mer),
2ypi,,2.5,,1991,,Ki=15uM,,Ki=15uM,,,,,//,2ypi.pdf,(PGA)
4er4,,2.1,,1991,,Ki=160nM,,Ki=160nM,,,,//,4er4.pdf,(10-mer),incomplete
05-Apr,,2.1,,1991,,Ki=17nM,,Ki=17nM,,,,,//,5apr.pdf,(9-mer)
3er5,,1.8,,1991,,Ki=1nM,,Ki=1nM,,,,,,//,3er5.pdf
04-Apr,,2.5,,1991,,Ki=200nM,,Ki=200nM,,,,//,4apr.pdf,(8-mer),incomplete
5hvp,,2,,1991,,Ki=20nM,,Ki=20nM,,,,,//,5hvp.pdf,(6-mer)
6cpa,,2,,1991,,Ki=3pM,,Ki=3pM,,,,,,//,6cpa.pdf
2er9,,2.2,,1991,,Ki=40nM,,Ki=40nM,,,,,//,2er9.pdf,(8-mer)
2er0,,3,,1991,,Ki=420nM,,Ki=420nM,,,,//,2er0.pdf,(8-mer),
4sga,,1.8,,1991,,Ki=50nM,,Ki=50nM,,,,,//,4sga.pdf,(5-mer)
2er6,,2,,1991,,Ki=60nM,,Ki=60nM,,,,,//,2er6.pdf,(7-mer)
3er3,,2,,1991,,Ki=81nM,,Ki=81nM,,,,,//,3er3.pdf,(0EL)
5er1,,2,,1991,,Ki=960nM,,Ki=960nM,,,,//,5er1.pdf,(0HT),
9abp,,1.97,,1992,,Kd=0.01uM,,Kd=0.01uM,,,//,9abp.pdf,(GLA/GLB),isomer,
1bap,,1.75,,1992,,Kd=0.14uM,,Kd=0.14uM,,,//,1bap.pdf,(ARA/ARB),isomer,
5abp,,1.8,,1992,,Kd=0.23uM,,Kd=0.23uM,,,//,5abp.pdf,(GLA/GLB),isomer,
8gpb,,2.2,,1992,,Kd=0.25mM,,Kd=0.25mM,,,//,8gpb.pdf,(AMP),Kd=0.25-0.7mM,
1apb,,1.76,,1992,,Kd=1.51uM,,Kd=1.51uM,,,//,1apb.pdf,(FCA/FCB),isomer,
7gpb,,2.9,,1992,,Kd=3uM,,Kd=3uM,,,,,,//,7gpb.pdf
1stp,,2.6,,1992,,Kd=40fM,,Kd=40fM,,,,,//,1stp.pdf,(BTN)
5est,,2.09,,1992,,Ki=0.3uM,,Ki=0.3uM,,,,//,5est.pdf,(0P2),covalent
6tim,,2.2,,1992,,Ki=0.61mM,,Ki=0.61mM,,,//,6tim.pdf,(G3P),,
6gpb,,2.86,,1992,,Ki=14uM,,Ki=14uM,,,,,//,6gpb.pdf,(H2P)
